https://www.halhigdon.com/training-programs/marathon-training/novice-1-marathon/
Rest
3 mi run
3 mi run
3 mi run
Rest
6
Cross
Rest
3 mi run
3 mi run
3 mi run
Rest
7
Cross
Rest
3 mi run
4 mi run
3 mi run
Rest
5
Cross
Rest
3 mi run
4 mi run
3 mi run
Rest
9
Cross
Rest
3 mi run
5 mi run
3 mi run
Rest
10
Cross
Rest
3 mi run
5 mi run
3 mi run
Rest
7
Cross
Rest
3 mi run
6 mi run
3 mi run
Rest
12
Cross
Rest
3 mi run
6 mi run
3 mi run
Rest
Rest
Half Marathon
Rest
3 mi run
7 mi run
4 mi run
Rest
10
Cross
Rest
3 mi run
7 mi run
4 mi run
Rest
15
Cross
Rest
4 mi run
8 mi run
4 mi run
Rest
16
Cross
Rest
4 mi run
8 mi run
5 mi run
Rest
12
Cross
Rest
4 mi run
9 mi run
5 mi run
Rest
18
Cross
Rest
5 mi run
9 mi run
5 mi run
Rest
14
Cross
Rest
5 mi run
10 mi run
5 mi run
Rest
20
Cross
Rest
5 mi run
8 mi run
4 mi run
Rest
12
Cross
Rest
4 mi run
6 mi run
3 mi run
Rest
8
Cross
Rest
3 mi run
4 mi run
2 mi run
Rest
Rest
Marathon
